	Voltage	Voltage				T(NN)			t(NN)				T(Poly)			t(Poly)				T(Spline)			t(Spline)		T(NN) - T(Spline)	T(Poly)-T(Spline)	Steinhart	Steinhart-T(Spline)
Voltage	=	0.2	"V	ANN"	Temp	=	99.079	"°C	Runtime"	=	91	"us		POLY"	Temp	=	115.634	"°C	Runtime"	=	33	"us		SPLINE"	Temp	=	117.117	"°C	Runtime"	=	17	us	-18.038	-1.483	118.1	0.983
Voltage	=	0.3	"V	ANN"	Temp	=	98.031	"°C	Runtime"	=	109	"us		POLY"	Temp	=	105.159	"°C	Runtime"	=	33	"us		SPLINE"	Temp	=	101.896	"°C	Runtime"	=	15	us	-3.865	3.263	102.4	0.504
Voltage	=	0.4	"V	ANN"	Temp	=	94.567	"°C	Runtime"	=	100	"us		POLY"	Temp	=	95.764	"°C	Runtime"	=	32	"us		SPLINE"	Temp	=	91.485	"°C	Runtime"	=	16	us	3.082	4.279	91.8	0.315
Voltage	=	0.5	"V	ANN"	Temp	=	88.078	"°C	Runtime"	=	99	"us		POLY"	Temp	=	87.364	"°C	Runtime"	=	32	"us		SPLINE"	Temp	=	83.579	"°C	Runtime"	=	17	us	4.499	3.785	83.7	0.121
Voltage	=	0.6	"V	ANN"	Temp	=	79.931	"°C	Runtime"	=	99	"us		POLY"	Temp	=	79.88	"°C	Runtime"	=	31	"us		SPLINE"	Temp	=	77.229	"°C	Runtime"	=	18	us	2.702	2.651	77.3	0.071
Voltage	=	0.7	"V	ANN"	Temp	=	72.152	"°C	Runtime"	=	98	"us		POLY"	Temp	=	73.234	"°C	Runtime"	=	31	"us		SPLINE"	Temp	=	71.911	"°C	Runtime"	=	16	us	0.241	1.323	71.9	-0.011
Voltage	=	0.8	"V	ANN"	Temp	=	65.785	"°C	Runtime"	=	141	"us		POLY"	Temp	=	67.351	"°C	Runtime"	=	38	"us		SPLINE"	Temp	=	67.312	"°C	Runtime"	=	19	us	-1.527	0.039	67.3	-0.012
Voltage	=	0.9	"V	ANN"	Temp	=	60.901	"°C	Runtime"	=	100	"us		POLY"	Temp	=	62.16	"°C	Runtime"	=	31	"us		SPLINE"	Temp	=	63.248	"°C	Runtime"	=	15	us	-2.347	-1.088	63.2	-0.048
Voltage	=	1	"V	ANN"	Temp	=	57.172	"°C	Runtime"	=	95	"us		POLY"	Temp	=	57.593	"°C	Runtime"	=	32	"us		SPLINE"	Temp	=	59.619	"°C	Runtime"	=	19	us	-2.447	-2.026	59.5	-0.119
Voltage	=	1.1	"V	ANN"	Temp	=	54.23	"°C	Runtime"	=	105	"us		POLY"	Temp	=	53.584	"°C	Runtime"	=	30	"us		SPLINE"	Temp	=	56.337	"°C	Runtime"	=	17	us	-2.107	-2.753	56.2	-0.137
Voltage	=	1.2	"V	ANN"	Temp	=	51.787	"°C	Runtime"	=	90	"us		POLY"	Temp	=	50.071	"°C	Runtime"	=	31	"us		SPLINE"	Temp	=	53.332	"°C	Runtime"	=	24	us	-1.545	-3.261	53.2	-0.132
Voltage	=	1.3	"V	ANN"	Temp	=	49.641	"°C	Runtime"	=	98	"us		POLY"	Temp	=	46.994	"°C	Runtime"	=	33	"us		SPLINE"	Temp	=	50.539	"°C	Runtime"	=	19	us	-0.898	-3.545	50.3	-0.239
Voltage	=	1.4	"V	ANN"	Temp	=	47.664	"°C	Runtime"	=	95	"us		POLY"	Temp	=	44.297	"°C	Runtime"	=	33	"us		SPLINE"	Temp	=	47.897	"°C	Runtime"	=	19	us	-0.233	-3.6	47.7	-0.197
Voltage	=	1.5	"V	ANN"	Temp	=	45.773	"°C	Runtime"	=	96	"us		POLY"	Temp	=	41.927	"°C	Runtime"	=	32	"us		SPLINE"	Temp	=	45.38	"°C	Runtime"	=	18	us	0.393	-3.453	45.2	-0.18
Voltage	=	1.6	"V	ANN"	Temp	=	43.92	"°C	Runtime"	=	98	"us		POLY"	Temp	=	39.832	"°C	Runtime"	=	30	"us		SPLINE"	Temp	=	42.981	"°C	Runtime"	=	19	us	0.939	-3.149	42.8	-0.181
